id,center_id,pass_id,member_id,trainer_member_id,starts_at,ends_at,status,consumed,cancelled_reason,cancelled_by_uid,cancelled_at,attended_at,created_by_uid,created_at,updated_at,source,requested_at,approved_at,approved_by_uid,rejected_reason,booking_reason,attendance_reminded_at,reschedule_history
380,1,82,1666,1,2026-08-18 00:00:00+00,2026-08-18 00:50:00+00,attended,t,,,,2026-08-18 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
381,1,82,1666,1,2026-08-17 23:00:00+00,2026-08-17 23:50:00+00,attended,t,,,,2026-08-17 23:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
382,1,82,1666,1,2026-08-16 02:30:00+00,2026-08-16 03:20:00+00,attended,t,,,,2026-08-16 02:30:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
383,1,82,1666,1,2026-08-15 01:00:00+00,2026-08-15 01:50:00+00,attended,t,,,,2026-08-15 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
384,1,82,1666,1,2026-08-13 00:00:00+00,2026-08-13 00:50:00+00,attended,t,,,,2026-08-13 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
385,1,82,1666,1,2026-08-12 23:00:00+00,2026-08-12 23:50:00+00,attended,t,,,,2026-08-12 23:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
386,1,82,1666,1,2026-08-12 00:00:00+00,2026-08-12 00:50:00+00,attended,t,,,,2026-08-12 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
387,1,82,1666,1,2026-08-11 00:00:00+00,2026-08-11 00:50:00+00,attended,t,,,,2026-08-11 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
388,1,82,1666,1,2026-08-10 23:00:00+00,2026-08-10 23:50:00+00,attended,t,,,,2026-08-10 23:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
389,1,82,1666,1,2026-08-10 00:00:00+00,2026-08-10 00:50:00+00,attended,t,,,,2026-08-10 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-21 01:54:18.046029+00,2026-08-21 01:54:18.046029+00,staff,,,,,,,[]
5379,1,82,1666,1,2026-08-09 02:30:00+00,2026-08-09 03:20:00+00,attended,t,,,,2026-08-09 02:30:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-24 12:20:35.772075+00,2026-08-24 14:04:56.412598+00,staff,,,,,,,[]
5380,1,82,1666,1,2026-08-08 01:00:00+00,2026-08-08 01:50:00+00,attended,t,,,,2026-08-08 01:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-24 12:20:35.833565+00,2026-08-24 14:04:56.412598+00,staff,,,,,,,[]
5381,1,82,1666,1,2026-08-06 00:00:00+00,2026-08-06 00:50:00+00,attended,t,,,,2026-08-06 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-24 12:20:35.887415+00,2026-08-24 14:04:56.412598+00,staff,,,,,,,[]
5382,1,82,1666,1,2026-08-05 23:00:00+00,2026-08-05 23:50:00+00,attended,t,,,,2026-08-05 23:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-24 12:20:35.940341+00,2026-08-24 14:04:56.412598+00,staff,,,,,,,[]
5383,1,82,1666,1,2026-08-05 00:00:00+00,2026-08-05 00:50:00+00,attended,t,,,,2026-08-05 00:00:00+00,zGjEn3Bwq6TxhAiR6lkay9QeFYS2,2026-08-24 12:20:35.995665+00,2026-08-24 14:04:56.412598+00,staff,,,,,,,[]
